"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify ingredient data at index: 1","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","1","Add ingredient successfully using Mock","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","1","Set bun using Mock object","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","1","Verify ingredient belongs to Ingredient class","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","0","Verify ingredient data at index: 0","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","1","Successfully create an ingredient and verify attributes","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestIngredient","test_ingredient","",""
"","0","Verify get_name() returns the correct value","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestIngredient","test_ingredient","",""
"","0","Verify ingredient data at index: 5","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Check ingredients type is list","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","0","Check bun name is set correctly in constructor","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBun","test_bun","",""
"","0","Check get_price() method returns correct value","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBun","test_bun","",""
"","2","Move ingredient successfully in the list","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","1","Verify get_receipt() formatting","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","0","Check that there are exactly 3 buns in the database","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Verify bun data at index: 1","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Verify get_type() returns the correct value","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestIngredient","test_ingredient","",""
"","0","Verify ingredient data at index: 2","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Check bun price data type is float","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBun","test_bun","",""
"","0","Verify ingredient data at index: 4","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Check default bun value is None","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","1","Verify get_price() returns the correct value","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestIngredient","test_ingredient","",""
"","0","Check that available_buns() returns a list","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Check get_name() method returns correct value","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBun","test_bun","",""
"","0","Verify bun data at index: 0","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","1","Verify ingredient data at index: 3","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Check bun price is set correctly in constructor","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBun","test_bun","",""
"","2","Verify get_price() returns correct total value","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","2","Remove ingredient successfully using Mock","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","1","Verify set bun belongs to Bun class","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","0","Verify bun data at index: 2","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestDatabase","test_database","",""
"","0","Check default ingredients is an empty list","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","1","Verify bun name cannot be None","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBurger","test_burger","",""
"","0","Check bun name data type is string","tests","Thu Mar 26 10:43:03 UTC 2026","passed","Thu Mar 26 10:43:03 UTC 2026","TestBun","test_bun","",""
